operator,segment,is_ems,fleet_size,phone,email,website,has_contact,city,state,zip,street,top_models,sample_tail_numbers
AIR METHODS LLC,private,yes,307,,,,no,GREENWOOD VILLAGE,CO,801111914,5500 S QUEBEC ST STE 300,"BELL HELICOPTER TEXTRON CANADA 407, EUROCOPTER EC 130 B4, EUROCOPTER DEUTSCHLAND GMBH MBB-BK 117 C-2",N101HF N101VU N102HN N103VU N104VU
AIR EVAC EMS INC,private,yes,160,,,,no,O FALLON,MO,633684100,1001 BOARDWALK SPRINGS PL STE 250,"BELL HELICOPTER TEXTRON CANADA 206L-4, BELL HELICOPTER TEXTRON 206L-1, BELL 206L-3",N101AE N103AE N106AE N108AE N108GR
PHI HEALTH LLC,private,yes,90,,,,no,TEMPE,AZ,852880906,1033 W ROOSEVELT WAY STE 500,"EUROCOPTER DEUTSCHLAND GMBH EC 135 P2+, BELL 407, BELL HELICOPTER TEXTRON CANADA 407",N151AE N153AE N301PH N302PH N303PH
MED-TRANS CORP,private,yes,83,,,,no,DENTON,TX,762074529,2200 WESTCOURT RD,"EUROCOPTER DEUTSCHLAND GMBH EC 135 P2+, BELL HELICOPTER TEXTRON CANADA 407, BELL 407",N105NK N113MT N119MT N135LX N135UT
METRO AVIATION INC,private,yes,58,,,,no,SHREVEPORT,LA,711377008,PO BOX 7008,"AIRBUS HELICOPTERS INC MBB-BK 117 C-2, EUROCOPTER DEUTSCHLAND GMBH EC 135 P2+, EUROCOPTER DEUTSCHLAND GMBH EC135P1",N117CH N117UP N135BU N135DH N135GF
REACH AIR MEDICAL SERVICES LLC,private,yes,50,,,,no,SANTA ROSA,CA,954038270,2360 BECKER BLVD,"EUROCOPTER DEUTSCHLAND GMBH EC 135 P2+, AIRBUS HELICOPTERS INC AS350B3, AIRBUS HELICOPTERS DEUTSCHLAND EC135 P3",N112MT N114GR N30RX N312RX N313RX
LIFE FLIGHT NETWORK LLC,private,yes,38,,,,no,AURORA,OR,970028400,22285 YELLOW GATE LN NE STE 102,"BELL TEXTRON CANADA LTD 407, BELL TEXTRON CANADA LTD 429, BELL HELICOPTER TEXTRON CANADA 407",N401LF N402LF N403LF N405LF N406LF
MED TRANS CORP,private,yes,13,,,,no,DENTON,TX,762074529,2200 WESTCOURT RD,"EUROCOPTER DEUTSCHLAND GMBH EC 135 P2+, AIRBUS HELICOPTERS EC135 P3, BELL 407",N103MT N135VV N225LX N308NE N407UT
MED-TRANS CORPORATION,private,yes,8,,,,no,DENTON,TX,762074529,2200 WESTCOURT RD,"AIRBUS HELICOPTERS EC 130 T2, EUROCOPTER DEUTSCHLAND GMBH EC 135 P2+, AIRBUS HELICOPTERS EC135 P3",N224VV N413UT N522MT N524MT N558MT
MEMORIAL HERMANN HEALTH SYSTEM,private,yes,8,,,,no,HOUSTON,TX,770301501,6411 FANNIN ST,"EUROCOPTER DEUTSCHLAND GMBH MBB-BK 117 C-2, AIRBUS HELICOPTERS INC MBB-BK117 D-3",N452MH N453MH N455MH N456TK N462MH
